code,name,decimals
"AED","Dirham de EAU","2"
"AFN","Afghani","2"
"ALL","Lek","2"
"AMD","Dram armenio","2"
"ANG","Florín antillano neerlandés","2"
"AOA","Kwanza","2"
"ARS","Peso Argentino","2"
"AUD","Dólar Australiano","2"
"AWG","Aruba Florin","2"
"AZN","Azerbaijanian Manat","2"
"BAM","Convertibles marca","2"
"BBD","Dólar de Barbados","2"
"BDT","Taka","2"
"BGN","Lev búlgaro","2"
"BHD","Dinar de Bahrein","3"
"BIF","Burundi Franc","0"
"BMD","Dólar de Bermudas","2"
"BND","Dólar de Brunei","2"
"BOB","Boliviano","2"
"BOV","Mvdol","2"
"BRL","Real brasileño","2"
"BSD","Dólar de las Bahamas","2"
"BTN","Ngultrum","2"
"BWP","Pula","2"
"BYR","Rublo bielorruso","0"
"BZD","Dólar de Belice","2"
"CAD","Dólar Canadiense","2"
"CDF","Franco congoleño","2"
"CHE","WIR Euro","2"
"CHF","Franco Suizo","2"
"CHW","Franc WIR","2"
"CLF","Unidad de Fomento","4"
"CLP","Peso chileno","0"
"CNY","Yuan Renminbi","2"
"COP","Peso Colombiano","2"
"COU","Unidad de Valor real","2"
"CRC","Colón costarricense","2"
"CUC","Peso Convertible","2"
"CUP","Peso Cubano","2"
"CVE","Cabo Verde Escudo","2"
"CZK","Corona checa","2"
"DJF","Franco de Djibouti","0"
"DKK","Corona danesa","2"
"DOP","Peso Dominicano","2"
"DZD","Dinar argelino","2"
"EGP","Libra egipcia","2"
"ERN","Nakfa","2"
"ETB","Birr etíope","2"
"EUR","Euro","2"
"FJD","Dólar de Fiji","2"
"FKP","Libra malvinense","2"
"GBP","Libra Esterlina","2"
"GEL","Lari","2"
"GHS","Cedi de Ghana","2"
"GIP","Libra de Gibraltar","2"
"GMD","Dalasi","2"
"GNF","Franco guineano","0"
"GTQ","Quetzal","2"
"GYD","Dólar guyanés","2"
"HKD","Dólar De Hong Kong","2"
"HNL","Lempira","2"
"HRK","Kuna","2"
"HTG","Gourde","2"
"HUF","Florín","2"
"IDR","Rupia","2"
"ILS","Nuevo Shekel Israelí","2"
"INR","Rupia india","2"
"IQD","Dinar iraquí","3"
"IRR","Rial iraní","2"
"ISK","Corona islandesa","0"
"JMD","Dólar Jamaiquino","2"
"JOD","Dinar jordano","3"
"JPY","Yen","0"
"KES","Chelín keniano","2"
"KGS","Som","2"
"KHR","Riel","2"
"KMF","Franco Comoro","0"
"KPW","Corea del Norte ganó","2"
"KRW","Won","0"
"KWD","Dinar kuwaití","3"
"KYD","Dólar de las Islas Caimán","2"
"KZT","Tenge","2"
"LAK","Kip","2"
"LBP","Libra libanesa","2"
"LKR","Rupia de Sri Lanka","2"
"LRD","Dólar liberiano","2"
"LSL","Loti","2"
"LYD","Dinar libio","3"
"MAD","Dirham marroquí","2"
"MDL","Leu moldavo","2"
"MGA","Ariary malgache","2"
"MKD","Denar","2"
"MMK","Kyat","2"
"MNT","Tugrik","2"
"MOP","Pataca","2"
"MRO","Ouguiya","2"
"MUR","Rupia de Mauricio","2"
"MVR","Rupia","2"
"MWK","Kwacha","2"
"MXN","Peso Mexicano","2"
"MXV","México Unidad de Inversión (UDI)","2"
"MYR","Ringgit malayo","2"
"MZN","Mozambique Metical","2"
"NAD","Dólar de Namibia","2"
"NGN","Naira","2"
"NIO","Córdoba Oro","2"
"NOK","Corona noruega","2"
"NPR","Rupia nepalí","2"
"NZD","Dólar de Nueva Zelanda","2"
"OMR","Rial omaní","3"
"PAB","Balboa","2"
"PEN","Nuevo Sol","2"
"PGK","Kina","2"
"PHP","Peso filipino","2"
"PKR","Rupia de Pakistán","2"
"PLN","Zloty","2"
"PYG","Guaraní","0"
"QAR","Qatar Rial","2"
"RON","Leu rumano","2"
"RSD","Dinar serbio","2"
"RUB","Rublo ruso","2"
"RWF","Franco ruandés","0"
"SAR","Riyal saudí","2"
"SBD","Dólar de las Islas Salomón","2"
"SCR","Rupia de Seychelles","2"
"SDG","Libra sudanesa","2"
"SEK","Corona sueca","2"
"SGD","Dólar De Singapur","2"
"SHP","Libra de Santa Helena","2"
"SLL","Leona","2"
"SOS","Chelín somalí","2"
"SRD","Dólar de Suriname","2"
"SSP","Libra sudanesa Sur","2"
"STD","Dobra","2"
"SVC","Colon El Salvador","2"
"SYP","Libra Siria","2"
"SZL","Lilangeni","2"
"THB","Baht","2"
"TJS","Somoni","2"
"TMT","Turkmenistán nuevo manat","2"
"TND","Dinar tunecino","3"
"TOP","Pa'anga","2"
"TRY","Lira turca","2"
"TTD","Dólar de Trinidad y Tobago","2"
"TWD","Nuevo dólar de Taiwán","2"
"TZS","Shilling tanzano","2"
"UAH","Hryvnia","2"
"UGX","Shilling de Uganda","0"
"USD","Dólar americano","2"
"USN","Dólar estadounidense (día siguiente)","2"
"UYI","Peso Uruguay en Unidades Indexadas (URUIURUI)","0"
"UYU","Peso Uruguayo","2"
"UZS","Uzbekistán Sum","2"
"VEF","Bolívar","2"
"VND","Dong","0"
"VUV","Vatu","0"
"WST","Tala","2"
"XAF","Franco CFA BEAC","0"
"XAG","Plata","0"
"XAU","Oro","0"
"XBA","Unidad de Mercados de Bonos Unidad Europea Composite (EURCO)","0"
"XBB","Unidad Monetaria de Bonos de Mercados Unidad Europea (UEM-6)","0"
"XBC","Mercados de Bonos Unidad Europea unidad de cuenta a 9 (UCE-9)","0"
"XBD","Mercados de Bonos Unidad Europea unidad de cuenta a 17 (UCE-17)","0"
"XCD","Dólar del Caribe Oriental","2"
"XDR","DEG (Derechos Especiales de Giro)","0"
"XOF","Franco CFA BCEAO","0"
"XPD","Paladio","0"
"XPF","Franco CFP","0"
"XPT","Platino","0"
"XSU","Sucre","0"
"XTS","Códigos reservados específicamente para propósitos de prueba","0"
"XUA","Unidad ADB de Cuenta","0"
"XXX","Los códigos asignados para las transacciones en que intervenga ninguna moneda","0"
"YER","Rial yemení","2"
"ZAR","Rand","2"
"ZMW","Kwacha zambiano","2"
"ZWL","Zimbabwe Dólar","2"